"Pos","Driver","Nationality","Team","Points"
"1","Graham Hill","British","BRM","42"
"2","Jim Clark","British","Lotus-Climax","30"
"3","Bruce McLaren","New Zealander","Cooper-Climax","27"
"4","John Surtees","British","Lola-Climax","19"
"5","Dan Gurney","American","Porsche","15"
"6","Phil Hill","American","Ferrari","14"
"7","Tony Maggs","South African","Cooper-Climax","13"
"8","Richie Ginther","American","BRM","10"
"9","Jack Brabham","Australian","Brabham-Climax","9"
"10","Trevor  Taylor","British","Lotus-Climax","6"
"11","Giancarlo Baghetti","Italian","Ferrari","5"
"12","Lorenzo Bandini","Italian","Ferrari","4"
"13","Ricardo  Rodriguez","Mexican","Ferrari","4"
"14","Willy Mairesse","Belgian","Ferrari","3"
"15","Jo Bonnier","Swedish","Porsche","3"
"16","Innes Ireland","British","Lotus-Climax","2"
"17","Carel Godin de Beaufort","Dutch","Porsche","2"
"18","Masten Gregory","American","Lotus-Climax","1"
"19","Neville Lederle","South African","Lotus-Climax","1"
"20","Maurice  Trintignant","French","Lotus-Climax","0"
"21","Jackie  Lewis","British","Cooper-Climax","0"
"22","John Love","Rhodesian","Cooper-Climax","0"
"23","Nino Vaccarella","Italian","Lotus-Climax","0"
"24","Lucien Bianchi","Belgian","ENB-Maserati","0"
"25","Roger  Penske","American","Lotus-Climax","0"
"26","Bruce  Johnstone","South African","BRM","0"
"27","Jo Siffert","Swiss","Lotus-Climax","0"
"28","Ernie Pieterse","South African","Lotus-Climax","0"
"29","Rob  Schroeder","American","Lotus-Climax","0"
"30","Ian Burgess","British","Cooper-Climax","0"
"31","Tony  Settember","American","Emeryson-Climax","0"
"32","John  Campbell-Jones","British","Lotus-Climax","0"
"33","Hap  Sharp","American","Cooper-Climax","0"
"34","Heini  Walter","Swiss","Porsche","0"
"35","Jay  Chamberlain","American","Lotus-Climax","0"
"36","Roy Salvadori","British","Lola-Climax","0"
"37","Doug Serrurier","South African","LDS- Alfa Romeo","0"
"38","Wolfgang Seidel","German","Lotus-Climax","0"
"39","Mike  Harris","Rhodesia","Cooper-Climax","0"
"40","Timmy Mayer","American","Cooper-Climax","0"
"41","Keith  Greene","British","Gilby-BRM","0"
"42","Ben  Pon","Dutch","Porsche","0"
"43","Tony   Shelly","New Zealander","Lotus-Climax","0"
"44","Heinz  Schiller","Swiss","Lotus-Climax","0"
"45","Gerry  Ashmore","British","Lotus-Climax","0"
"46","Bernard  Collomb","French","Cooper-Climax","0"
"47","Ernesto  Prinoth","Italian","Lotus-Climax","0"
"48","Roberto  Lippi","Italian","De Tomaso","0"
"49","Nasif  Estefano","Argentinean","De Tomaso","0"
"50","Gunther   Seiffert","German","Lotus-Climax","0"
