"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","03/03/2002","Michael Schumacher","Ferrari","58","1:35'36.792"
"Malaysia","17/03/2002","Ralf Schumacher","Williams-BMW","56","1:34'12.912"
"Brazil","31/03/2002","Michael Schumacher","Ferrari","71","1:31'43.663"
"San Marino","14/04/2002","Michael Schumacher","Ferrari","62","1:29'10.789"
"Spain","28/04/2002","Michael Schumacher","Ferrari","65","1:30'29.981"
"Austria","12/05/2002","Michael Schumacher","Ferrari","71","1:33'51.562"
"Monaco","26/05/2002","David Coulthard","McLaren-Mercedes","78","1:45'39.055"
"Canada","09/06/2002","Michael Schumacher","Ferrari","70","1:33'36.111"
"Europe","23/06/2002","Rubens Barrichello","Ferrari","60","1:35'07.426"
"Great Britain","07/07/2002","Michael Schumacher","Ferrari","60","1:31'45.015"
"France","21/07/2002","Michael Schumacher","Ferrari","72","1:32'09.837"
"Germany","28/07/2002","Michael Schumacher","Ferrari","67","1:27'52.078"
"Hungary","18/08/2002","Rubens Barrichello","Ferrari","77","1:41'49.001"
"Belgium","01/09/2002","Michael Schumacher","Ferrari","44","1:21'20.634"
"Italy","15/09/2002","Rubens Barrichello","Ferrari","53","1:16'19.982"
"United States","29/09/2002","Rubens Barrichello","Ferrari","73","1:31'07.934"
"Japan","13/10/2002","Michael Schumacher","Ferrari","53","1:26'59.698"
